"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 03 13:53:03 UTC 2023","Fri Feb 03 13:53:07 UTC 2023","3807","","Log In page form","","Log In page form","Negative Log In with not valid password","Negative Log In with not valid password",""
"passed","Fri Feb 03 13:52:55 UTC 2023","Fri Feb 03 13:52:58 UTC 2023","2564","","Checking the header button on the homepage","","Checking the header button on the homepage","Verify header menu ""Pricing"" point","Verify header menu ""Pricing"" point",""
"passed","Fri Feb 03 13:52:46 UTC 2023","Fri Feb 03 13:52:49 UTC 2023","3072","","Search results tests","","Search results tests","Result not found","Result not found",""
"passed","Fri Feb 03 13:53:07 UTC 2023","Fri Feb 03 13:53:11 UTC 2023","4208","","Log In page form","","Log In page form","Negative Log In with not click on checkBox","Negative Log In with not click on checkBox",""
"passed","Fri Feb 03 13:52:51 UTC 2023","Fri Feb 03 13:52:54 UTC 2023","3121","","Test search input and email input in Blog page ","","Test search input and email input in Blog page ","Positive subscribe","Positive subscribe",""
"passed","Fri Feb 03 13:52:51 UTC 2023","Fri Feb 03 13:52:59 UTC 2023","8250","","Log In page form","","Log In page form","Positive Log In","Positive Log In",""
"passed","Fri Feb 03 13:52:50 UTC 2023","Fri Feb 03 13:52:52 UTC 2023","2782","","Checking the header button on the homepage","","Checking the header button on the homepage","Verify header menu ""Resources"" point","Verify header menu ""Resources"" point",""
"passed","Fri Feb 03 13:52:57 UTC 2023","Fri Feb 03 13:53:00 UTC 2023","3318","","Sign Up page form","","Sign Up page form","Negative Sign Up with not valid email","Negative Sign Up with not valid email",""
"passed","Fri Feb 03 13:53:03 UTC 2023","Fri Feb 03 13:53:05 UTC 2023","2324","","Sign Up page form","","Sign Up page form","Negative Sign Up with not valid password","Negative Sign Up with not valid password",""
"passed","Fri Feb 03 13:52:51 UTC 2023","Fri Feb 03 13:52:57 UTC 2023","5795","","Sign Up page form","","Sign Up page form","Negative Sign Up without email","Negative Sign Up without email",""
"passed","Fri Feb 03 13:52:54 UTC 2023","Fri Feb 03 13:52:58 UTC 2023","3927","","Test search input and email input in Blog page ","","Test search input and email input in Blog page ","Negative subscribe with not valid email","Negative subscribe with not valid email",""
"passed","Fri Feb 03 13:53:11 UTC 2023","Fri Feb 03 13:53:14 UTC 2023","2392","","Log In page form","","Log In page form","Positive Single Sign On","Positive Single Sign On",""
"passed","Fri Feb 03 13:52:52 UTC 2023","Fri Feb 03 13:52:55 UTC 2023","2668","","Checking the header button on the homepage","","Checking the header button on the homepage","Verify header menu ""Company"" point","Verify header menu ""Company"" point",""
"passed","Fri Feb 03 13:52:47 UTC 2023","Fri Feb 03 13:52:50 UTC 2023","3062","","Checking the header button on the homepage","","Checking the header button on the homepage","Verify header menu ""Solutions"" point","Verify header menu ""Solutions"" point",""
"passed","Fri Feb 03 13:52:42 UTC 2023","Fri Feb 03 13:52:46 UTC 2023","4084","","Search results tests","","Search results tests","Result found","Result found",""
"passed","Fri Feb 03 13:53:14 UTC 2023","Fri Feb 03 13:53:16 UTC 2023","2507","","Log In page form","","Log In page form","Negative Single Sign On with not valid email","Negative Single Sign On with not valid email",""
"passed","Fri Feb 03 13:53:05 UTC 2023","Fri Feb 03 13:53:08 UTC 2023","2460","","Sign Up page form","","Sign Up page form","Negative Sign Up with click on checkBoxes","Negative Sign Up with click on checkBoxes",""
"failed","Fri Feb 03 13:52:41 UTC 2023","Fri Feb 03 13:52:47 UTC 2023","5601","","Test search input and email input in Blog page ","","Test search input and email input in Blog page ","Result found","Result found",""
"passed","Fri Feb 03 13:52:38 UTC 2023","Fri Feb 03 13:52:43 UTC 2023","4876","","Checking the header button on the homepage","","Checking the header button on the homepage","Verification Main page, Expect url and title","Verification Main page, Expect url and title",""
"passed","Fri Feb 03 13:53:08 UTC 2023","Fri Feb 03 13:53:10 UTC 2023","1913","","Sign Up page form","","Sign Up page form","Check promo field","Check promo field",""
"passed","Fri Feb 03 13:52:45 UTC 2023","Fri Feb 03 13:52:51 UTC 2023","6224","","Sign Up page form","","Sign Up page form","Positive Sign Up","Positive Sign Up",""
"passed","Fri Feb 03 13:52:38 UTC 2023","Fri Feb 03 13:52:45 UTC 2023","6982","","Sign Up page form","","Sign Up page form","Verification Sign Up page, Expect url and title, and wait form in Sign Up page","Verification Sign Up page, Expect url and title, and wait form in Sign Up page",""
"passed","Fri Feb 03 13:53:00 UTC 2023","Fri Feb 03 13:53:03 UTC 2023","2845","","Sign Up page form","","Sign Up page form","Negative Sign Up with not valid full name","Negative Sign Up with not valid full name",""
"passed","Fri Feb 03 13:52:43 UTC 2023","Fri Feb 03 13:52:47 UTC 2023","3814","","Checking the header button on the homepage","","Checking the header button on the homepage","Verify header menu ""Products"" point","Verify header menu ""Products"" point",""
"passed","Fri Feb 03 13:52:59 UTC 2023","Fri Feb 03 13:53:03 UTC 2023","4002","","Log In page form","","Log In page form","Negative Log In with not valid email","Negative Log In with not valid email",""
"failed","Fri Feb 03 13:52:47 UTC 2023","Fri Feb 03 13:52:51 UTC 2023","4274","","Test search input and email input in Blog page ","","Test search input and email input in Blog page ","Result not found","Result not found",""
"passed","Fri Feb 03 13:52:38 UTC 2023","Fri Feb 03 13:52:51 UTC 2023","13135","","Log In page form","","Log In page form","Verification Log In page,Expect url and title , and wait form in Log In page","Verification Log In page,Expect url and title , and wait form in Log In page",""
"passed","Fri Feb 03 13:52:38 UTC 2023","Fri Feb 03 13:52:41 UTC 2023","3310","","Test search input and email input in Blog page ","","Test search input and email input in Blog page ","Verification Blog page, Expect url and title","Verification Blog page, Expect url and title",""
"passed","Fri Feb 03 13:52:38 UTC 2023","Fri Feb 03 13:52:42 UTC 2023","3631","","Search results tests","","Search results tests","Verification Support page, Expect url and title","Verification Support page, Expect url and title",""
